feature,importance,std
recency_days,0.21505330671537187,0.008544697017460212
return_rate,0.04605232577243244,0.002648803258345277
app_sessions_30d,0.030692835029279983,0.0020503509151546394
tenure_months,0.007977474376472074,0.0010273839915043504
email_open_rate,0.005563385022507972,0.002030548052031668
category_diversity,0.003010949855703632,0.0013926129777585622
monetary_eur,0.0026803624680331595,0.0010831466583226099
discount_usage_ratio,0.001975409908325093,0.0008946168953065453
age,0.0018629100185209024,0.0006983725919859405
complained,0.0017893793692632526,0.00055149248934939
frequency,0.0014430640361794284,0.0007998651809555907
preferred_category,0.0008218602813478693,0.00071646462503485
