customer_id,age,gender,country,city_tier,tenure_months,recency_days,frequency,monetary_eur,avg_order_value,app_sessions_30d,pages_per_session,wishlist_items,email_open_rate,category_diversity,preferred_category,channel,return_rate,discount_usage_ratio,complained,churn
ZC000001,35.0,Male,USA,Tier 3,20,139,4,287.21,71.8,1,9.1,5,0.704,7,Kids,Online,0.468,0.057,0,0
ZC000002,22.0,Female,Germany,Tier 1,11,84,1,77.73,77.73,1,1.3,4,0.669,2,Women,Mixed,0.639,0.317,1,1
ZC000003,40.0,Male,UK,Tier 3,42,79,2,133.83,66.92,1,2.8,6,0.647,1,Women,Online,0.591,0.531,0,1
ZC000004,41.0,Female,Other,Tier 3,14,15,1,84.06,84.06,5,11.4,0,0.382,3,Women,Mixed,0.379,0.286,0,0
ZC000005,16.0,Female,Other,Tier 2,22,66,2,163.59,81.8,1,7.3,6,0.704,6,Men,Online,0.271,0.298,0,0
ZC000006,19.0,Female,France,Tier 1,29,361,1,74.79,74.79,1,7.0,3,0.466,3,Women,Online,0.169,0.324,0,1
ZC000007,33.0,Female,Mexico,Tier 1,11,28,1,91.11,91.11,5,6.6,1,0.148,3,Women,Store,0.836,0.339,0,0
ZC000008,29.0,Female,USA,Tier 1,23,149,2,209.73,104.86,3,4.8,0,0.138,7,Men,Store,0.198,0.415,0,1
ZC000009,32.0,Female,Spain,Tier 1,7,2,1,57.32,57.32,7,3.3,4,0.362,7,Women,Online,0.548,0.233,0,1
ZC000010,23.0,Female,Germany,Tier 2,36,113,3,189.45,63.15,0,5.1,6,0.513,5,Kids,Mixed,0.284,0.303,1,1
ZC000011,41.0,Female,Italy,Tier 3,22,88,2,192.01,96.0,2,3.7,3,0.232,5,Women,Mixed,0.107,0.287,0,0
ZC000012,40.0,Male,Spain,Tier 1,12,49,1,125.59,125.59,13,9.5,5,0.439,7,Women,Mixed,0.38,0.059,0,0
ZC000013,33.0,Female,USA,Tier 1,27,83,6,693.4,115.57,1,2.9,3,0.198,4,Women,Store,0.256,0.518,0,0
ZC000014,43.0,Female,France,Tier 1,15,85,1,64.74,64.74,3,1.5,2,0.265,8,Women,Mixed,0.161,0.246,0,0
ZC000015,37.0,Female,Spain,Tier 1,3,85,1,65.96,65.96,1,6.3,1,0.577,5,Kids,Online,0.338,0.168,0,0
ZC000016,23.0,Male,UK,Tier 1,2,41,1,54.54,54.54,12,2.4,2,0.569,2,Home,Online,0.589,0.307,0,0
ZC000017,36.0,Male,France,Tier 3,19,36,3,307.01,102.34,6,1.0,7,0.639,1,Home,Store,0.413,0.459,0,0
ZC000018,22.0,Male,Other,Tier 1,19,25,1,99.73,99.73,5,4.1,3,0.69,5,Women,Store,0.334,0.346,0,0
ZC000019,41.0,Male,USA,Tier 1,29,8,3,192.18,64.06,5,7.9,2,0.38,1,Home,Mixed,0.163,0.333,0,0
ZC000020,32.0,Female,USA,Tier 2,24,55,1,78.35,78.35,7,1.3,3,0.502,5,Women,Store,0.694,0.332,0,0
ZC000021,30.0,Male,Spain,Tier 1,13,133,1,60.54,60.54,1,3.1,5,0.104,7,TRF,Store,0.362,0.43,0,1
ZC000022,25.0,Female,Spain,Tier 3,16,34,1,67.64,67.64,4,2.5,2,0.617,4,Men,Online,0.189,0.539,0,0
ZC000023,44.0,Male,Mexico,Tier 3,18,15,1,99.41,99.41,11,11.8,3,0.427,5,Women,Store,0.428,0.061,0,0
ZC000024,30.0,Female,UK,Tier 1,37,25,4,285.81,71.45,5,3.0,5,0.38,3,Women,Store,0.128,0.252,0,0
ZC000025,28.0,Female,USA,Tier 2,30,64,1,75.15,75.15,1,2.0,2,0.685,3,Women,Store,0.256,0.329,0,0
ZC000026,28.0,Male,Other,Tier 2,5,64,1,79.44,79.44,1,10.2,8,0.322,1,Kids,Online,0.184,0.569,0,0
ZC000027,37.0,Male,Mexico,Tier 1,49,22,1,41.2,41.2,4,1.0,5,0.569,5,Kids,Online,0.267,0.383,0,0
ZC000028,36.0,Male,Spain,Tier 1,59,56,5,208.85,41.77,2,4.0,8,0.245,3,Women,Online,0.176,0.056,0,0
ZC000029,36.0,Female,USA,Tier 3,14,48,2,155.07,77.54,3,4.7,2,0.186,1,Women,Store,0.125,0.699,0,0
ZC000030,36.0,Female,Other,Tier 1,27,94,3,182.41,60.8,1,1.0,5,0.312,4,Men,Store,0.239,0.338,0,1
ZC000031,53.0,Female,Italy,Tier 1,60,179,4,399.74,99.94,0,3.9,3,0.298,2,Women,Mixed,0.307,0.366,0,1
ZC000032,28.0,Female,Other,Tier 1,19,33,2,141.61,70.81,6,2.4,3,0.598,4,Men,Store,0.362,0.236,0,0
ZC000033,27.0,Female,Spain,Tier 1,22,27,1,102.61,102.61,6,1.6,2,0.287,2,Men,Online,0.319,0.512,0,0
ZC000034,24.0,Female,Mexico,Tier 3,31,64,1,89.05,89.05,1,3.7,0,0.372,1,Kids,Online,0.321,0.043,0,0
ZC000035,38.0,Male,Spain,Tier 2,45,76,1,108.95,108.95,0,2.3,2,0.309,7,Men,Online,0.531,0.483,0,1
